start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	112	1. HANE	AB1	INSTRUMENTAL		1-HANE
113	171	TESLİM	A1	INSTRUMENTAL		TESLIM
172	288	2. HANE	AB2	INSTRUMENTAL		2-HANE
289	347	TESLİM	A2	INSTRUMENTAL		TESLIM
348	453	3. HANE	B1	INSTRUMENTAL		3-HANE
454	510	TESLİM	A3	INSTRUMENTAL		TESLIM
511	631	4. HANE	AB3	INSTRUMENTAL		4-HANE
632	681	TESLİM	AB4	INSTRUMENTAL		TESLIM
