start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	50	1. HANE	AB1	INSTRUMENTAL		1-HANE
51	99	TESLİM	AC1	INSTRUMENTAL		TESLIM
100	148	TESLİM	AC1	INSTRUMENTAL		TESLIM
149	193	2. HANE	ABC1	INSTRUMENTAL		2-HANE
194	245	TESLİM	C1	INSTRUMENTAL		TESLIM
246	293	TESLİM	AC2	INSTRUMENTAL		TESLIM
294	335	3. HANE	B1	INSTRUMENTAL		3-HANE
336	387	TESLİM	C2	INSTRUMENTAL		TESLIM
388	436	TESLİM	ABC2	INSTRUMENTAL		TESLIM
437	566	4. HANE	ABC3	INSTRUMENTAL		4-HANE
567	624	TESLİM	C3	INSTRUMENTAL		TESLIM
625	678	TESLİM	ABC4	INSTRUMENTAL		TESLIM
