start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	28	VOCAL_SECTION	A1	A1	Sînede yârem onulmaz  	VOCAL_SECTION
29	54	VOCAL_SECTION	A2	A1	Sînede yârem onulmaz  	VOCAL_SECTION
55	77	VOCAL_SECTION	B1	B1	Aşka düşen iflâh olmaz  	VOCAL_SECTION
78	104	VOCAL_SECTION	C1	B1	Aşka düşen iflâh olmaz  	VOCAL_SECTION
105	126	VOCAL_SECTION	AB1	A2	Bu derde çare bulunmaz  	VOCAL_SECTION
127	153	VOCAL_SECTION	A2	A2	Bu derde çare bulunmaz  	VOCAL_SECTION
154	176	VOCAL_SECTION	B1	B1	Aşka düşen iflâh olmaz  	VOCAL_SECTION
177	203	VOCAL_SECTION	C2	B1	Aşka düşen iflâh olmaz  	VOCAL_SECTION
