start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	35	VOCAL_SECTION	A1	A1	Yaktı cihânı âteşin  	VOCAL_SECTION
36	77	VOCAL_SECTION	B1	A2	Bir tanesin yoktur eşin  	VOCAL_SECTION
78	105	VOCAL_SECTION	A2	A3	Oldum senin hasretkeşin  	VOCAL_SECTION
106	147	VOCAL_SECTION	B1	A2	Bir tanesin yoktur eşin  	VOCAL_SECTION
148	181	VOCAL_SECTION	A1	A1	Yaktı cihânı âteşin  	VOCAL_SECTION
182	223	VOCAL_SECTION	B1	A2	Bir tanesin yoktur eşin  	VOCAL_SECTION
224	251	VOCAL_SECTION	A2	A3	Oldum senin hasretkeşin  	VOCAL_SECTION
252	293	VOCAL_SECTION	B1	A2	Bir tanesin yoktur eşin  	VOCAL_SECTION
