start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	92	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
93	120	VOCAL_SECTION	B1	B1	Nerelerde kaldın ey servinâzım  	VOCAL_SECTION
121	145	VOCAL_SECTION	BC1	B1	Nerelerde kaldın ey servinâzım  	VOCAL_SECTION
146	176	VOCAL_SECTION	BC2	C1	Bana bir haber ver budur niyazım  	VOCAL_SECTION
177	203	VOCAL_SECTION	D1	C1	Bana bir haber ver budur niyazım  	VOCAL_SECTION
204	224	VOCAL_SECTION	E1	B2	Hasretinden acep ölmek mi lâzım  	VOCAL_SECTION
225	254	VOCAL_SECTION	C1	B2	Hasretinden acep ölmek mi lâzım  	VOCAL_SECTION
255	285	VOCAL_SECTION	BC2	C1	Bana bir haber ver budur niyazım  	VOCAL_SECTION
286	312	VOCAL_SECTION	D1	C1	Bana bir haber ver budur niyazım  	VOCAL_SECTION
