start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	107	1. HANE	AB1	INSTRUMENTAL		1-HANE
108	194	TESLİM	C1	INSTRUMENTAL		TESLIM
195	309	2. HANE	AD1	INSTRUMENTAL		2-HANE
310	397	TESLİM	C2	INSTRUMENTAL		TESLIM
398	517	3. HANE	B1	INSTRUMENTAL		3-HANE
518	604	TESLİM	C3	INSTRUMENTAL		TESLIM
605	704	4. HANE	D1	INSTRUMENTAL		4-HANE
705	786	TESLİM	C4	INSTRUMENTAL		TESLIM
