start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	70	1. HANE	A1	INSTRUMENTAL		1-HANE
71	151	TESLİM	B1	INSTRUMENTAL		TESLIM
152	213	2. HANE	C1	INSTRUMENTAL		2-HANE
214	291	TESLİM	D1	INSTRUMENTAL		TESLIM
292	346	3. HANE	E1	INSTRUMENTAL		3-HANE
347	426	TESLİM	F1	INSTRUMENTAL		TESLIM
427	495	4. HANE	G1	INSTRUMENTAL		4-HANE
496	570	TESLİM	H1	INSTRUMENTAL		TESLIM
