start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	62	VOCAL_SECTION	AB1	A1	Geçti sevdalarla ömrüm ihtiyâr_oldum bugün  	VOCAL_SECTION
63	133	VOCAL_SECTION	A1	AB1	Ak pak_olmuş saçlarımla bî karar_oldum bugün  	VOCAL_SECTION
134	204	VOCAL_SECTION	A2	AB1	Ak pak_olmuş saçlarımla bî karar_oldum bugün  	VOCAL_SECTION
205	280	VOCAL_SECTION	B1	B1	Bir muhabbet neşesiyle ilkbahar_oldum bugün  	VOCAL_SECTION
281	351	VOCAL_SECTION	A1	AB1	Ak pak_olmuş saçlarımla bî karar_oldum bugün  	VOCAL_SECTION
352	421	VOCAL_SECTION	A3	AB1	Ak pak_olmuş saçlarımla bî karar_oldum bugün  	VOCAL_SECTION
