start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	36	VOCAL_SECTION	AB1	A1	Akşam oldu hüzünlendim ben yine  	VOCAL_SECTION
37	68	VOCAL_SECTION	AB2	A1	Akşam oldu hüzünlendim ben yine  	VOCAL_SECTION
69	97	VOCAL_SECTION	AB3	A2	Hasret kaldım gözlerinin rengine ah  	VOCAL_SECTION
98	128	VOCAL_SECTION	AC1	A3	Hasret kaldım gözlerinin rengine  	VOCAL_SECTION
129	152	VOCAL_SECTION	CD1	A4	Gel mehtabım gel sevgilim gel yine  	VOCAL_SECTION
153	176	VOCAL_SECTION	BD1	A4	Gel mehtabım gel sevgilim gel yine  	VOCAL_SECTION
177	205	VOCAL_SECTION	AB3	A2	Hasret kaldım gözlerinin rengine ah  	VOCAL_SECTION
206	228	VOCAL_SECTION	AB4	A3	Hasret kaldım gözlerinin rengine  	VOCAL_SECTION
