start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	61	VOCAL_SECTION	A1	A1	Ezelden âşinânım ben ezelden hemzebânımsın  	VOCAL_SECTION
62	122	VOCAL_SECTION	A2	A1	Ezelden âşinânım ben ezelden hemzebânımsın  	VOCAL_SECTION
123	181	VOCAL_SECTION	A3	A2	Beraber ahde bağlandık ne olsa yâr_i cânımsın  	VOCAL_SECTION
182	240	VOCAL_SECTION	A4	A2	Beraber ahde bağlandık ne olsa yâr_i cânımsın  	VOCAL_SECTION
241	289	VOCAL_SECTION	A5	A3	Ne olsan zerrenim kalbimde hâlâ çarpar esrârın  	VOCAL_SECTION
290	339	VOCAL_SECTION	A6	A3	Ne olsan zerrenim kalbimde hâlâ çarpar esrârın  	VOCAL_SECTION
340	398	VOCAL_SECTION	A3	A2	Beraber ahde bağlandık ne olsa yâr_i cânımsın  	VOCAL_SECTION
399	449	VOCAL_SECTION	A7	A2	Beraber ahde bağlandık ne olsa yâr_i cânımsın  	VOCAL_SECTION
