start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	67	1. HANE	AB1	INSTRUMENTAL		1-HANE
68	138	TESLİM	C1	INSTRUMENTAL		TESLIM
139	213	2. HANE	A1	INSTRUMENTAL		2-HANE
214	284	TESLİM	C1	INSTRUMENTAL		TESLIM
285	364	3. HANE	B1	INSTRUMENTAL		3-HANE
365	436	TESLİM	C1	INSTRUMENTAL		TESLIM
437	658	4. HANE	D1	INSTRUMENTAL		4-HANE
659	729	TESLİM	C1	INSTRUMENTAL		TESLIM
