start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	72	ARANAĞME	AB1	INSTRUMENTAL		ARANAGME
73	143	ARANAĞME	AB1	INSTRUMENTAL		ARANAGME
144	179	VOCAL_SECTION	B1	B1	Koklasam saçlarını bu gece tâ fecre kadar  	VOCAL_SECTION
180	213	VOCAL_SECTION	AB2	B1	Koklasam saçlarını bu gece tâ fecre kadar  	VOCAL_SECTION
214	257	VOCAL_SECTION	ABC1	C1	Acı duysam gözünün rengine dalsam da senin  	VOCAL_SECTION
258	301	VOCAL_SECTION	AB3	C1	Acı duysam gözünün rengine dalsam da senin  	VOCAL_SECTION
302	341	VOCAL_SECTION	D1	D1	Kanatır ruhumu mâzîde kalan hatıralar  	VOCAL_SECTION
342	387	VOCAL_SECTION	CD1	D1	Kanatır ruhumu mâzîde kalan hatıralar  	VOCAL_SECTION
388	431	VOCAL_SECTION	AC1	C2	Doyamam ömrüme ben kalbini çalsam da senin  	VOCAL_SECTION
432	470	VOCAL_SECTION	AB4	C2	Doyamam ömrüme ben kalbini çalsam da senin  	VOCAL_SECTION
