start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	39	VOCAL_SECTION	A1	A1	Bakmıyor çeşm-i siyah feryâde  	VOCAL_SECTION
40	72	VOCAL_SECTION	A2	A1	Bakmıyor çeşm-i siyah feryâde  	VOCAL_SECTION
73	110	VOCAL_SECTION	BC1	B1	Yetiş_ey gamze yetiş imdâde  	VOCAL_SECTION
111	148	VOCAL_SECTION	A3	B1	Yetiş_ey gamze yetiş imdâde  	VOCAL_SECTION
149	185	VOCAL_SECTION	B1	AB1	Gelmiyor hançer-i ebrû dâde  	VOCAL_SECTION
186	222	VOCAL_SECTION	CD1	B1	Yetiş_ey gamze yetiş imdâde  	VOCAL_SECTION
223	260	VOCAL_SECTION	AD1	B1	Yetiş_ey gamze yetiş imdâde  	VOCAL_SECTION
