start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	52	ARANAĞME	ABC1	INSTRUMENTAL		ARANAGME
53	103	ARANAĞME	ABC1	INSTRUMENTAL		ARANAGME
104	119	VOCAL_SECTION	AB1	BC1	Hicrân_oku sînem deler  	VOCAL_SECTION
120	136	VOCAL_SECTION	ABC2	BC1	Hicrân_oku sînem deler  	VOCAL_SECTION
137	159	VOCAL_SECTION	B1	BC2	Olmaktadır halim beter  	VOCAL_SECTION
160	181	VOCAL_SECTION	AB2	BC2	Olmaktadır halim beter  	VOCAL_SECTION
182	203	VOCAL_SECTION	C1	C1	Bu iftirak artık yeter  	VOCAL_SECTION
204	225	VOCAL_SECTION	A1	C1	Bu iftirak artık yeter  	VOCAL_SECTION
226	248	VOCAL_SECTION	B1	B1	İnsâfa gel ey şîveger  	VOCAL_SECTION
249	270	VOCAL_SECTION	AB3	C2	Bir gün_olur çağın geçer  	VOCAL_SECTION
271	293	VOCAL_SECTION	B1	B1	İnsâfa gel ey şîveger  	VOCAL_SECTION
294	311	VOCAL_SECTION	AB4	C2	Bir gün_olur çağın geçer  	VOCAL_SECTION
312	362	ARANAĞME	ABC1	INSTRUMENTAL		ARANAGME
363	413	ARANAĞME	ABC1	INSTRUMENTAL		ARANAGME
414	429	VOCAL_SECTION	AB1	BC1	Hicrân_oku sînem deler  	VOCAL_SECTION
430	446	VOCAL_SECTION	ABC2	BC1	Hicrân_oku sînem deler  	VOCAL_SECTION
447	469	VOCAL_SECTION	B1	BC2	Olmaktadır halim beter  	VOCAL_SECTION
470	491	VOCAL_SECTION	AB2	BC2	Olmaktadır halim beter  	VOCAL_SECTION
492	513	VOCAL_SECTION	C1	C1	Bu iftirak artık yeter  	VOCAL_SECTION
514	535	VOCAL_SECTION	A1	C1	Bu iftirak artık yeter  	VOCAL_SECTION
536	558	VOCAL_SECTION	B1	B1	İnsâfa gel ey şîveger  	VOCAL_SECTION
559	580	VOCAL_SECTION	AB3	C2	Bir gün_olur çağın geçer  	VOCAL_SECTION
581	603	VOCAL_SECTION	B1	B1	İnsâfa gel ey şîveger  	VOCAL_SECTION
604	621	VOCAL_SECTION	AB4	C2	Bir gün_olur çağın geçer  	VOCAL_SECTION
