start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	36	VOCAL_SECTION	A1	A1	Akşam oldu hüzünlendim ben yine  	VOCAL_SECTION
37	68	VOCAL_SECTION	A2	A1	Akşam oldu hüzünlendim ben yine  	VOCAL_SECTION
69	97	VOCAL_SECTION	A3	A2	Hasret kaldım gözlerinin rengine ah  	VOCAL_SECTION
98	128	VOCAL_SECTION	A4	A3	Hasret kaldım gözlerinin rengine  	VOCAL_SECTION
129	152	VOCAL_SECTION	A5	A4	Gel mehtabım gel sevgilim gel yine  	VOCAL_SECTION
153	176	VOCAL_SECTION	A6	A4	Gel mehtabım gel sevgilim gel yine  	VOCAL_SECTION
177	205	VOCAL_SECTION	A3	A2	Hasret kaldım gözlerinin rengine ah  	VOCAL_SECTION
206	228	VOCAL_SECTION	A7	A3	Hasret kaldım gözlerinin rengine  	VOCAL_SECTION
