start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	147	1. HANE	A1	INSTRUMENTAL		1-HANE
148	229	TESLİM	AB1	INSTRUMENTAL		TESLIM
230	376	2. HANE	AB2	INSTRUMENTAL		2-HANE
377	455	TESLİM	B1	INSTRUMENTAL		TESLIM
456	581	3. HANE	C1	INSTRUMENTAL		3-HANE
582	658	TESLİM	AB3	INSTRUMENTAL		TESLIM
659	789	4. HANE	D1	INSTRUMENTAL		4-HANE
790	865	TESLİM	B2	INSTRUMENTAL		TESLIM
